,episodes,reward
0,0,-71.74125
1,0,-75.08936
2,0,-51.085213
3,0,-52.062565
4,0,-61.141182
5,1,-72.69613
6,1,-85.91592
7,1,-65.653564
8,1,-65.01564
9,1,-48.14405
10,2,-54.203457
11,2,-93.10748
12,2,-82.39207
13,2,-55.635834
14,2,-44.938244
15,3,-59.261356
16,3,-55.2425
17,3,-74.24699
18,3,-63.992207
19,3,-54.49648
20,4,-59.21249
21,4,-65.97954
22,4,-92.68014
23,4,-63.466923
24,4,-56.22649
25,5,-52.074017
26,5,-77.05915
27,5,-91.930824
28,5,-55.408703
29,5,-55.871254
30,6,-57.27816
31,6,-59.539394
32,6,-70.49167
33,6,-49.132706
34,6,-50.806522
35,7,-64.88598
36,7,-62.146717
37,7,-88.13703
38,7,-47.534096
39,7,-38.377728
40,8,-54.63801
41,8,-59.311687
42,8,-77.71382
43,8,-49.090504
44,8,-45.111076
45,9,-44.0195
46,9,-74.9727
47,9,-56.044186
48,9,-56.5048
49,9,-47.071648
50,10,-53.096832
51,10,-50.90341
52,10,-74.79349
53,10,-61.279133
54,10,-57.684643
55,11,-58.578747
56,11,-82.217
57,11,-79.768616
58,11,-60.503582
59,11,-40.089577
60,12,-55.81137
61,12,-71.825
62,12,-72.59579
63,12,-57.20224
64,12,-51.383266
65,13,-59.179523
66,13,-63.06686
67,13,-59.311024
68,13,-52.362823
69,13,-55.864605
70,14,-63.82466
71,14,-60.75613
72,14,-83.09989
73,14,-40.821053
74,14,-47.339333
75,15,-69.56789
76,15,-69.33898
77,15,-68.60863
78,15,-55.411026
79,15,-58.176907
80,16,-48.29095
81,16,-55.36387
82,16,-64.33172
83,16,-44.8451
84,16,-57.85896
85,17,-72.57027
86,17,-62.411877
87,17,-63.072643
88,17,-41.067192
89,17,-41.933914
90,18,-47.326344
91,18,-55.036385
92,18,-80.522385
93,18,-56.65793
94,18,-63.05646
95,19,-77.6809
96,19,-52.53269
97,19,-46.950245
98,19,-42.804115
99,19,-54.953423
100,20,-54.574135
101,20,-59.113625
102,20,-71.113495
103,20,-51.207325
104,20,-65.30345
105,21,-56.960396
106,21,-60.870953
107,21,-53.850964
108,21,-46.35913
109,21,-47.635216
110,22,-49.566174
111,22,-47.149883
112,22,-75.54894
113,22,-51.31628
114,22,-43.0714
115,23,-55.21814
116,23,-59.264668
117,23,-54.09953
118,23,-53.162514
119,23,-48.356354
120,24,-55.30636
121,24,-47.298347
122,24,-61.424816
123,24,-62.65103
124,24,-43.55667
125,25,-46.796448
126,25,-57.39757
127,25,-74.79487
128,25,-54.941696
129,25,-39.678608
130,26,-76.27438
131,26,-55.92987
132,26,-60.755867
133,26,-59.793358
134,26,-49.351143
135,27,-46.19284
136,27,-49.00608
137,27,-58.545338
138,27,-54.19513
139,27,-46.310387
140,28,-52.808876
141,28,-62.399178
142,28,-60.027634
143,28,-46.992023
144,28,-40.77754
145,29,-48.85423
146,29,-63.71859
147,29,-48.460354
148,29,-46.43279
149,29,-43.845932
150,30,-53.016308
151,30,-46.093567
152,30,-51.9364
153,30,-51.152763
154,30,-39.004936
155,31,-60.68649
156,31,-54.83815
157,31,-56.409378
158,31,-46.017883
159,31,-52.44925
160,32,-41.684395
161,32,-50.86623
162,32,-79.33351
163,32,-51.95432
164,32,-44.942974
165,33,-58.219746
166,33,-56.59594
167,33,-55.156586
168,33,-44.883236
169,33,-49.807865
170,34,-49.885105
171,34,-77.72795
172,34,-49.453667
173,34,-37.173645
174,34,-37.546185
175,35,-48.915882
176,35,-75.42608
177,35,-51.25757
178,35,-45.940304
179,35,-55.752266
180,36,-55.097206
181,36,-50.04051
182,36,-62.25653
183,36,-41.38892
184,36,-43.474747
185,37,-47.630722
186,37,-55.108517
187,37,-59.16775
188,37,-38.06347
189,37,-47.378845
190,38,-53.028088
191,38,-56.80648
192,38,-63.497818
193,38,-35.298603
194,38,-39.55687
195,39,-44.440804
196,39,-57.332016
197,39,-50.647938
198,39,-52.784348
199,39,-43.55116
200,40,-51.779926
201,40,-59.77482
202,40,-57.224716
203,40,-44.354908
204,40,-42.634747
205,41,-47.919376
206,41,-51.441273
207,41,-56.298832
208,41,-48.33194
209,41,-39.28927
210,42,-47.598602
211,42,-47.39879
212,42,-62.53877
213,42,-41.89914
214,42,-48.206398
