,episodes,reward
0,0,-70.181244
1,0,-59.050606
2,0,-45.08259
3,0,-79.39774
4,0,-84.16026
5,1,-86.09956
6,1,-50.04318
7,1,-89.48721
8,1,-68.54959
9,1,-82.63355
10,2,-98.84753
11,2,-49.37904
12,2,-86.34509
13,2,-67.53742
14,2,-76.93982
15,3,-129.29015
16,3,-70.60933
17,3,-78.005714
18,3,-60.667805
19,3,-131.99449
20,4,-100.42439
21,4,-48.953327
22,4,-93.0338
23,4,-64.314766
24,4,-94.19394
25,5,-107.82316
26,5,-60.99878
27,5,-65.36172
28,5,-70.72041
29,5,-65.26799
30,6,-80.38075
31,6,-57.542625
32,6,-85.55544
33,6,-84.93308
34,6,-64.60223
35,7,-86.99426
36,7,-61.39845
37,7,-103.76536
38,7,-99.636536
39,7,-81.77352
40,8,-87.70692
41,8,-48.387165
42,8,-98.47851
43,8,-65.062454
44,8,-97.959694
45,9,-70.50018
46,9,-53.160263
47,9,-75.84596
48,9,-60.472866
49,9,-79.158264
50,10,-86.999115
51,10,-60.861683
52,10,-43.552864
53,10,-77.64837
54,10,-60.203907
55,11,-87.23431
56,11,-51.978035
57,11,-53.000988
58,11,-53.61554
59,11,-93.85204
60,12,-89.1897
61,12,-46.302475
62,12,-63.292717
63,12,-79.7606
64,12,-81.990906
65,13,-99.30698
66,13,-58.935997
67,13,-71.50777
68,13,-58.425526
69,13,-86.91238
70,14,-134.12427
71,14,-59.783504
72,14,-63.611
73,14,-60.908436
74,14,-78.655685
75,15,-101.89238
76,15,-46.90722
77,15,-59.549717
78,15,-59.880135
79,15,-102.84038
80,16,-113.32334
81,16,-51.90169
82,16,-56.406895
83,16,-74.404076
84,16,-74.73395
85,17,-102.9279
86,17,-48.479774
87,17,-109.2794
88,17,-67.7792
89,17,-71.23361
90,18,-68.46218
91,18,-52.91427
92,18,-77.44409
93,18,-63.221943
94,18,-75.5523
95,19,-110.66495
96,19,-51.183292
97,19,-49.70801
98,19,-61.852985
99,19,-54.78124
100,20,-91.10305
101,20,-60.104702
102,20,-49.968876
103,20,-64.38998
104,20,-60.237076
105,21,-105.84813
106,21,-52.07741
107,21,-92.80968
108,21,-62.54606
109,21,-71.89578
110,22,-111.820724
111,22,-45.353176
112,22,-78.10956
113,22,-67.72037
114,22,-72.73021
115,23,-108.0754
116,23,-45.12186
117,23,-77.04339
118,23,-79.98221
119,23,-66.13051
120,24,-63.49462
121,24,-67.69009
122,24,-68.93879
123,24,-66.65806
124,24,-69.5332
125,25,-78.101746
126,25,-46.092148
127,25,-79.04695
128,25,-62.431747
129,25,-70.42063
130,26,-79.04128
131,26,-63.054523
132,26,-66.53892
133,26,-66.80419
134,26,-62.201675
135,27,-76.18845
136,27,-42.91044
137,27,-86.51177
138,27,-52.695797
139,27,-75.77291
140,28,-55.20697
141,28,-59.964836
142,28,-85.69105
143,28,-64.60776
144,28,-71.96629
145,29,-66.77721
146,29,-49.15446
147,29,-83.50701
148,29,-59.35522
149,29,-103.32993
150,30,-69.46593
151,30,-56.618305
152,30,-60.030704
153,30,-60.33245
154,30,-88.52952
155,31,-96.809685
156,31,-50.060856
157,31,-87.33474
158,31,-66.40936
159,31,-77.675125
160,32,-86.33656
161,32,-44.121628
162,32,-84.05373
163,32,-54.684963
164,32,-74.37564
165,33,-107.80424
166,33,-52.508415
167,33,-59.668816
168,33,-64.524796
169,33,-69.90936
170,34,-58.954185
171,34,-47.44825
172,34,-58.311382
173,34,-80.81555
174,34,-60.964832
175,35,-58.83606
176,35,-53.713993
177,35,-81.76645
178,35,-80.514915
179,35,-69.25703
180,36,-71.06414
181,36,-45.51376
182,36,-83.58351
183,36,-63.091797
184,36,-81.07271
185,37,-95.46974
186,37,-44.376133
187,37,-91.83606
188,37,-61.306263
189,37,-79.285095
190,38,-44.89748
191,38,-59.37936
192,38,-104.62113
193,38,-74.91003
194,38,-61.803463
195,39,-74.939
196,39,-47.093307
197,39,-52.480442
198,39,-65.48947
199,39,-92.07426
200,40,-55.902836
201,40,-47.98885
202,40,-63.447117
203,40,-48.577286
204,40,-76.22406
205,41,-67.34988
206,41,-63.174923
207,41,-88.63272
208,41,-67.52206
209,41,-61.70228
210,42,-77.41794
211,42,-54.710106
212,42,-63.786533
213,42,-67.78233
214,42,-91.04343
215,43,-92.07487
216,43,-42.224716
217,43,-70.96271
218,43,-59.70828
219,43,-55.046474
220,44,-68.769844
221,44,-50.215397
222,44,-64.3036
223,44,-58.6415
224,44,-72.576
225,45,-59.73059
226,45,-47.730545
227,45,-63.38005
228,45,-64.05947
229,45,-79.008965
230,46,-72.88371
231,46,-49.885983
232,46,-73.54971
233,46,-67.65143
234,46,-76.44378
235,47,-65.47948
236,47,-43.460716
237,47,-54.68738
238,47,-63.43874
239,47,-56.303726
240,48,-75.14067
241,48,-47.20336
242,48,-75.638115
243,48,-81.195015
244,48,-74.76098
245,49,-80.87325
246,49,-49.17459
247,49,-71.5386
248,49,-61.43254
249,49,-71.41079
250,50,-84.21257
251,50,-65.82101
252,50,-77.47088
253,50,-91.53389
254,50,-67.51289
255,51,-67.09756
256,51,-44.531185
257,51,-85.84342
258,51,-69.42119
259,51,-79.29525
260,52,-86.04729
261,52,-48.77194
262,52,-59.685246
263,52,-70.60167
264,52,-68.722374
265,53,-73.842606
266,53,-48.032677
267,53,-75.69077
268,53,-64.397194
269,53,-64.57987
270,54,-99.121185
271,54,-58.667305
272,54,-75.62923
273,54,-60.766685
274,54,-79.502556
275,55,-69.52975
276,55,-49.81824
277,55,-81.69519
278,55,-66.6226
279,55,-69.9751
280,56,-60.216305
281,56,-50.57338
282,56,-75.60001
283,56,-54.988514
284,56,-58.26192
285,57,-74.710144
286,57,-46.85159
287,57,-87.99119
288,57,-56.038544
289,57,-54.053566
290,58,-74.7976
291,58,-53.99264
292,58,-100.91791
293,58,-67.25291
294,58,-72.17103
295,59,-76.964485
296,59,-50.92383
297,59,-75.81583
298,59,-65.56798
299,59,-65.54701
300,60,-77.51348
301,60,-50.71665
302,60,-78.16308
303,60,-58.097694
304,60,-58.021355
305,61,-77.6341
306,61,-60.049767
307,61,-78.40172
308,61,-54.180286
309,61,-70.21619
310,62,-90.43505
311,62,-55.121407
312,62,-66.52472
313,62,-63.315094
314,62,-57.510403
315,63,-65.2861
316,63,-54.06937
317,63,-75.70349
318,63,-67.66123
319,63,-61.944584
320,64,-51.109505
321,64,-42.427635
322,64,-77.88147
323,64,-54.814907
324,64,-56.484985
325,65,-57.429688
326,65,-42.64568
327,65,-67.80091
328,65,-64.18103
329,65,-53.45804
330,66,-55.11251
331,66,-47.06151
332,66,-71.47281
333,66,-58.061905
334,66,-62.000893
335,67,-68.66972
336,67,-48.674488
337,67,-79.368935
338,67,-52.31997
339,67,-56.603493
340,68,-95.481926
341,68,-43.924652
342,68,-64.639435
343,68,-69.445724
344,68,-44.377342
345,69,-75.957954
346,69,-39.89027
347,69,-69.11519
348,69,-71.235344
349,69,-49.901047
350,70,-86.53422
351,70,-41.396854
352,70,-51.936417
353,70,-49.838306
354,70,-62.896538
355,71,-49.174335
356,71,-37.645775
357,71,-60.29147
358,71,-61.815617
359,71,-48.08499
360,72,-48.055477
361,72,-48.61992
362,72,-61.558426
363,72,-59.852886
364,72,-51.610443
365,73,-99.77254
366,73,-50.448696
367,73,-73.423065
368,73,-56.20094
369,73,-63.937366
370,74,-73.83903
371,74,-52.061058
372,74,-84.11207
373,74,-53.020504
374,74,-53.258053
375,75,-93.457115
376,75,-53.222565
377,75,-61.30991
378,75,-47.057304
379,75,-62.31245
380,76,-49.40679
381,76,-44.37849
382,76,-79.36017
383,76,-65.899536
384,76,-62.089436
385,77,-54.43798
386,77,-51.798172
387,77,-59.370476
388,77,-70.462654
389,77,-43.39524
390,78,-65.836395
391,78,-50.29048
392,78,-65.39725
393,78,-65.971344
394,78,-52.45957
395,79,-63.512444
396,79,-47.27096
397,79,-72.99413
398,79,-79.84449
399,79,-55.69038
400,80,-80.99725
401,80,-44.127773
402,80,-70.52089
403,80,-72.45413
404,80,-50.96791
405,81,-71.59323
406,81,-47.79711
407,81,-46.14155
408,81,-71.79952
409,81,-56.023335
410,82,-74.560524
411,82,-40.239296
412,82,-64.96134
413,82,-61.45473
414,82,-61.599247
415,83,-94.62619
416,83,-51.704483
417,83,-76.72763
418,83,-58.63421
419,83,-52.213673
420,84,-54.238754
421,84,-57.287487
422,84,-70.72101
423,84,-62.477493
424,84,-64.25611
425,85,-41.573494
426,85,-49.680992
427,85,-59.693985
428,85,-67.25177
429,85,-67.931755
430,86,-76.121704
431,86,-40.13403
432,86,-54.36086
433,86,-50.21598
434,86,-61.198994
435,87,-61.72798
436,87,-49.167667
437,87,-66.753395
438,87,-52.41107
439,87,-70.29344
440,88,-68.957504
441,88,-38.31779
442,88,-65.81537
443,88,-57.76927
444,88,-61.078396
445,89,-55.333122
446,89,-47.883743
447,89,-47.687527
448,89,-51.87545
449,89,-58.214867
450,90,-74.37418
451,90,-54.68984
452,90,-52.326683
453,90,-57.98363
454,90,-64.09826
455,91,-52.77421
456,91,-47.539013
457,91,-52.147594
458,91,-59.97484
459,91,-54.46215
460,92,-46.70025
461,92,-53.41441
462,92,-46.22482
463,92,-64.76586
464,92,-60.59228
465,93,-68.580696
466,93,-54.6858
467,93,-57.80993
468,93,-53.74678
469,93,-52.714993
470,94,-62.177456
471,94,-52.641323
472,94,-63.82258
473,94,-69.98056
474,94,-49.711277
475,95,-62.873753
476,95,-50.42694
477,95,-52.27456
478,95,-54.381275
479,95,-52.134304
480,96,-45.318092
481,96,-50.73531
482,96,-60.33279
483,96,-60.41632
484,96,-50.669865
485,97,-45.34006
486,97,-49.69623
487,97,-72.839485
488,97,-57.592953
489,97,-43.81837
490,98,-48.336704
491,98,-45.133698
492,98,-57.428593
493,98,-55.828556
494,98,-47.58477
495,99,-55.364655
496,99,-41.526863
497,99,-62.32574
498,99,-66.380135
499,99,-59.66368
500,100,-54.10489
501,100,-59.10549
502,100,-48.513447
503,100,-73.35874
504,100,-55.431046
505,101,-55.53475
506,101,-48.61488
507,101,-56.465416
508,101,-58.49344
509,101,-65.46117
510,102,-60.13063
511,102,-41.264114
512,102,-48.042778
513,102,-60.014847
514,102,-48.966343
515,103,-66.285934
516,103,-46.858463
517,103,-62.172024
518,103,-61.48783
519,103,-57.489273
520,104,-45.78073
521,104,-47.35607
522,104,-69.46431
523,104,-49.359707
524,104,-54.94309
525,105,-75.33962
526,105,-45.656406
527,105,-61.08519
528,105,-60.81265
529,105,-45.70566
530,106,-59.686993
531,106,-49.063953
532,106,-58.314873
533,106,-63.08893
534,106,-49.508736
535,107,-75.66301
536,107,-51.2887
537,107,-66.28841
538,107,-58.740467
539,107,-63.886993
540,108,-65.04914
541,108,-43.880512
542,108,-57.61277
543,108,-67.25203
544,108,-51.480946
545,109,-42.338028
546,109,-42.39183
547,109,-65.95225
548,109,-53.68484
549,109,-62.797363
550,110,-70.75798
551,110,-45.019077
552,110,-71.35932
553,110,-65.32322
554,110,-49.408276
555,111,-66.82131
556,111,-44.9746
557,111,-48.297855
558,111,-64.01767
559,111,-49.20595
560,112,-52.241463
561,112,-43.46765
562,112,-62.66647
563,112,-56.869675
564,112,-72.21172
565,113,-43.352978
566,113,-31.903276
567,113,-53.70905
568,113,-54.900814
569,113,-52.199554
570,114,-100.29879
571,114,-56.845238
572,114,-62.691307
573,114,-50.783253
574,114,-56.967915
575,115,-51.554012
576,115,-49.023308
577,115,-58.398796
578,115,-61.00541
579,115,-41.903305
580,116,-51.543472
581,116,-38.72795
582,116,-67.744705
583,116,-53.07717
584,116,-54.326466
585,117,-70.45198
586,117,-51.27662
587,117,-52.411606
588,117,-68.85696
589,117,-49.769615
590,118,-83.06592
591,118,-39.341045
592,118,-60.02561
593,118,-52.822075
594,118,-52.17658
595,119,-68.659195
596,119,-44.247124
597,119,-48.87506
