game_variant,algorithm,depths,starting_player,winner,time,rounds,avg_round_time
Nimby,CustomNegamax,[14  7],2,1,0.6965598999522626,19,0.036661047
Nimby,CustomNegamax,[14  7],2,1,0.6847169999964535,19,0.036037736
Nimby,CustomNegamax,[14  7],2,2,0.7141989003866911,20,0.035709944
Nimby,CustomNegamax,[14  7],2,1,0.658591500017792,15,0.0439061
Nimby,CustomNegamax,[14  7],2,1,0.6269080000929534,17,0.036876943
Nimby,CustomNegamax,[14  7],2,2,0.6817932999692857,18,0.037877407
Nimby,CustomNegamax,[4 3],2,2,0.11794110015034676,18,0.006552283
Nimby,CustomNegamax,[4 3],2,2,0.10380150005221367,18,0.00576675
Nimby,CustomNegamax,[4 3],2,1,0.10017920006066561,17,0.005892894
Nimby,CustomNegamax,[4 3],2,1,0.10496699996292591,19,0.005524579
Nimby,CustomNegamax,[4 3],2,1,0.1370091000571847,21,0.006524243
Nimby,CustomNegamax,[4 3],2,2,0.1049639000557363,18,0.0058313278
Nimby,CustomNegamax,[4 3],2,2,0.16663100011646748,24,0.0069429586
Nimby,CustomNegamax,[4 3],2,1,0.12483360012993217,19,0.0065701893
Nimby,CustomNegamax,[4 3],2,1,0.11588989989832044,19,0.0060994686
Nimby,CustomNegamax,[4 3],2,2,0.13660269975662231,20,0.006830135
