,game_variant,algorithm,depths,rounds,time,starting_player,winner
80,Nim,NoPruningNegamax,[11  9],0.48578160000033677,15,2,1
81,Nim,NoPruningNegamax,[11  9],0.5125256999999692,16,1,1
82,Nim,NoPruningNegamax,[11  9],0.4919577999989997,15,2,1
83,Nim,NoPruningNegamax,[11  9],0.5058346000005258,16,1,1
84,Nim,NoPruningNegamax,[11  9],0.48357389999910083,15,2,1
85,Nim,NoPruningNegamax,[11  9],0.500595900000917,16,1,1
86,Nim,NoPruningNegamax,[11  9],0.4801346000003832,15,2,1
87,Nim,NoPruningNegamax,[11  9],0.5004475999994611,16,1,1
88,Nim,NoPruningNegamax,[11  9],0.4802909999998519,15,2,1
89,Nim,NoPruningNegamax,[11  9],0.5799848999995447,16,1,1
90,Nim,NoPruningNegamax,[11  9],0.47715790000074776,15,2,1
91,Nim,NoPruningNegamax,[11  9],0.5154548999998951,16,1,1
92,Nim,NoPruningNegamax,[11  9],0.5026928000006592,15,2,1
93,Nim,NoPruningNegamax,[11  9],0.5588029000009556,16,1,1
94,Nim,NoPruningNegamax,[11  9],0.5072839000004024,15,2,1
95,Nim,NoPruningNegamax,[11  9],0.5247172999988834,16,1,1
96,Nim,NoPruningNegamax,[11  9],0.5025682000014058,15,2,1
97,Nim,NoPruningNegamax,[11  9],0.5225138000005245,16,1,1
98,Nim,NoPruningNegamax,[11  9],0.49969880000026023,15,2,1
99,Nim,NoPruningNegamax,[11  9],0.6072554999991553,16,1,1
100,Nim,NoPruningNegamax,[6 8],0.44966589999967255,18,2,2
101,Nim,NoPruningNegamax,[6 8],0.4578454000002239,19,1,2
102,Nim,NoPruningNegamax,[6 8],0.451668099998642,18,2,2
103,Nim,NoPruningNegamax,[6 8],0.4485699000015302,19,1,2
104,Nim,NoPruningNegamax,[6 8],0.4400291999991168,18,2,2
105,Nim,NoPruningNegamax,[6 8],0.4460351999987324,19,1,2
106,Nim,NoPruningNegamax,[6 8],0.4402327999996487,18,2,2
107,Nim,NoPruningNegamax,[6 8],0.44817610000063723,19,1,2
108,Nim,NoPruningNegamax,[6 8],0.44501780000064173,18,2,2
109,Nim,NoPruningNegamax,[6 8],0.5345618999999715,19,1,2
110,Nim,NoPruningNegamax,[6 8],0.44507770000018354,18,2,2
111,Nim,NoPruningNegamax,[6 8],0.44995140000173706,19,1,2
112,Nim,NoPruningNegamax,[6 8],0.4431416999996145,18,2,2
113,Nim,NoPruningNegamax,[6 8],0.4447166999998444,19,1,2
114,Nim,NoPruningNegamax,[6 8],0.4412840999993932,18,2,2
115,Nim,NoPruningNegamax,[6 8],0.44994579999911366,19,1,2
116,Nim,NoPruningNegamax,[6 8],0.4426586000008683,18,2,2
117,Nim,NoPruningNegamax,[6 8],0.4484878999992361,19,1,2
118,Nim,NoPruningNegamax,[6 8],0.4423475999992661,18,2,2
119,Nim,NoPruningNegamax,[6 8],0.537728799999968,19,1,2
120,Nimby,NoPruningNegamax,[11  9],0.5598160000008647,19,2,1
121,Nimby,NoPruningNegamax,[11  9],0.5395458000002691,17,1,2
122,Nimby,NoPruningNegamax,[11  9],0.5311270999991393,17,2,1
123,Nimby,NoPruningNegamax,[11  9],0.5259262999989005,17,1,2
124,Nimby,NoPruningNegamax,[11  9],0.5554264000002149,20,2,2
125,Nimby,NoPruningNegamax,[11  9],0.505080299999463,16,1,1
126,Nimby,NoPruningNegamax,[11  9],0.4857418999999936,15,2,1
127,Nimby,NoPruningNegamax,[11  9],0.5272162000001117,18,1,1
128,Nimby,NoPruningNegamax,[11  9],0.6249915000007604,20,2,2
129,Nimby,NoPruningNegamax,[11  9],0.6253054000007978,19,1,2
130,Nimby,NoPruningNegamax,[11  9],0.5092458999988594,17,2,1
131,Nimby,NoPruningNegamax,[11  9],0.5450403000013466,19,1,2
132,Nimby,NoPruningNegamax,[11  9],0.58444050000071,17,2,1
133,Nimby,NoPruningNegamax,[11  9],0.5172455000010814,16,1,1
134,Nimby,NoPruningNegamax,[11  9],0.5405391999993299,18,2,2
135,Nimby,NoPruningNegamax,[11  9],0.5214670999994269,16,1,1
136,Nimby,NoPruningNegamax,[11  9],0.5053868999984843,16,2,2
137,Nimby,NoPruningNegamax,[11  9],0.5384209000003466,18,1,1
138,Nimby,NoPruningNegamax,[11  9],0.5618097999995371,20,2,2
139,Nimby,NoPruningNegamax,[11  9],0.6081823000004078,17,1,2
140,Nimby,NoPruningNegamax,[6 8],0.45881829999962065,20,2,2
141,Nimby,NoPruningNegamax,[6 8],0.5294057999999495,25,1,2
142,Nimby,NoPruningNegamax,[6 8],0.49616120000064257,23,2,1
143,Nimby,NoPruningNegamax,[6 8],0.4897782999996707,23,1,2
144,Nimby,NoPruningNegamax,[6 8],0.5125050999995437,24,2,2
145,Nimby,NoPruningNegamax,[6 8],0.45958770000106597,20,1,1
146,Nimby,NoPruningNegamax,[6 8],0.4840323999997054,21,2,1
147,Nimby,NoPruningNegamax,[6 8],0.45588990000032936,20,1,1
148,Nimby,NoPruningNegamax,[6 8],0.43828840000060154,18,2,2
149,Nimby,NoPruningNegamax,[6 8],0.5752676000010979,22,1,1
150,Nimby,NoPruningNegamax,[6 8],0.45488359999944805,19,2,1
151,Nimby,NoPruningNegamax,[6 8],0.46152259999871603,20,1,1
152,Nimby,NoPruningNegamax,[6 8],0.48298499999873457,21,2,1
153,Nimby,NoPruningNegamax,[6 8],0.5299584000003961,21,1,2
154,Nimby,NoPruningNegamax,[6 8],0.4973580999994738,22,2,2
155,Nimby,NoPruningNegamax,[6 8],0.4665356999994401,20,1,1
156,Nimby,NoPruningNegamax,[6 8],0.49626729999909003,22,2,2
157,Nimby,NoPruningNegamax,[6 8],0.4462215000003198,19,1,2
158,Nimby,NoPruningNegamax,[6 8],0.5556357000004937,20,2,2
159,Nimby,NoPruningNegamax,[6 8],0.46333730000151263,20,1,1
160,Nim,Negamax,[11  9],0.3644023000015295,15,2,1
161,Nim,Negamax,[11  9],0.39669119999962277,18,1,1
162,Nim,Negamax,[11  9],0.35928419999982,15,2,1
163,Nim,Negamax,[11  9],0.3874718999995821,18,1,1
164,Nim,Negamax,[11  9],0.3517504999999801,15,2,1
165,Nim,Negamax,[11  9],0.38213360000008834,18,1,1
166,Nim,Negamax,[11  9],0.34973660000105156,15,2,1
167,Nim,Negamax,[11  9],0.3836123000000953,18,1,1
168,Nim,Negamax,[11  9],0.3525724999999511,15,2,1
169,Nim,Negamax,[11  9],0.5352447000004759,18,1,1
170,Nim,Negamax,[11  9],0.35427659999913885,15,2,1
171,Nim,Negamax,[11  9],0.3877799000001687,18,1,1
172,Nim,Negamax,[11  9],0.35152340000058757,15,2,1
173,Nim,Negamax,[11  9],0.3857685000002675,18,1,1
174,Nim,Negamax,[11  9],0.354609400001209,15,2,1
175,Nim,Negamax,[11  9],0.3857174999993731,18,1,1
176,Nim,Negamax,[11  9],0.361007100000279,15,2,1
177,Nim,Negamax,[11  9],0.3915570999997726,18,1,1
178,Nim,Negamax,[11  9],0.36144749999948544,15,2,1
179,Nim,Negamax,[11  9],0.39531630000055884,18,1,1
180,Nim,Negamax,[6 8],0.263987399999678,16,2,2
181,Nim,Negamax,[6 8],0.3297284000000218,15,1,2
182,Nim,Negamax,[6 8],0.26936319999913394,16,2,2
183,Nim,Negamax,[6 8],0.24062450000019453,15,1,2
184,Nim,Negamax,[6 8],0.26576179999938176,16,2,2
185,Nim,Negamax,[6 8],0.23883399999976973,15,1,2
186,Nim,Negamax,[6 8],0.26549139999951876,16,2,2
187,Nim,Negamax,[6 8],0.23884700000053272,15,1,2
188,Nim,Negamax,[6 8],0.26529280000067956,16,2,2
189,Nim,Negamax,[6 8],0.2394008000010217,15,1,2
190,Nim,Negamax,[6 8],0.2684222999996564,16,2,2
191,Nim,Negamax,[6 8],0.2443383999998332,15,1,2
192,Nim,Negamax,[6 8],0.2603536000005988,16,2,2
193,Nim,Negamax,[6 8],0.23760959999890474,15,1,2
194,Nim,Negamax,[6 8],0.25999659999979485,16,2,2
195,Nim,Negamax,[6 8],0.23928189999969618,15,1,2
196,Nim,Negamax,[6 8],0.34671309999976074,16,2,2
197,Nim,Negamax,[6 8],0.23311199999989185,15,1,2
198,Nim,Negamax,[6 8],0.25839149999956135,16,2,2
199,Nim,Negamax,[6 8],0.2370690999996441,15,1,2
200,Nimby,Negamax,[11  9],0.35136729999976524,15,2,1
201,Nimby,Negamax,[11  9],0.37601319999885163,17,1,2
202,Nimby,Negamax,[11  9],0.38856670000132,18,2,2
203,Nimby,Negamax,[11  9],0.3919994999996561,19,1,2
204,Nimby,Negamax,[11  9],0.3516341000013199,15,2,1
205,Nimby,Negamax,[11  9],0.44068700000025274,18,1,1
206,Nimby,Negamax,[11  9],0.3841470000006666,18,2,2
207,Nimby,Negamax,[11  9],0.39200610000079905,18,1,1
208,Nimby,Negamax,[11  9],0.5315977000009298,22,2,2
209,Nimby,Negamax,[11  9],0.41448640000089654,20,1,1
210,Nimby,Negamax,[11  9],0.38361239999903773,17,2,1
211,Nimby,Negamax,[11  9],0.41606709999905434,20,1,1
212,Nimby,Negamax,[11  9],0.4637890000012703,19,2,1
213,Nimby,Negamax,[11  9],0.38107809999928577,17,1,2
214,Nimby,Negamax,[11  9],0.3732913000003464,16,2,2
215,Nimby,Negamax,[11  9],0.38769050000155403,17,1,2
216,Nimby,Negamax,[11  9],0.3849996999997529,16,2,2
217,Nimby,Negamax,[11  9],0.39656839999952354,18,1,1
218,Nimby,Negamax,[11  9],0.43012999999882595,20,2,2
219,Nimby,Negamax,[11  9],0.512335899999016,20,1,1
220,Nimby,Negamax,[6 8],0.3038847000007081,20,2,2
221,Nimby,Negamax,[6 8],0.24273560000074212,15,1,2
222,Nimby,Negamax,[6 8],0.28525949999857403,18,2,2
223,Nimby,Negamax,[6 8],0.26005329999861715,17,1,2
224,Nimby,Negamax,[6 8],0.26705690000017057,16,2,2
225,Nimby,Negamax,[6 8],0.23931489999995392,15,1,2
226,Nimby,Negamax,[6 8],0.27961560000039754,17,2,1
227,Nimby,Negamax,[6 8],0.3454153000002407,18,1,1
228,Nimby,Negamax,[6 8],0.2844129000004614,18,2,2
229,Nimby,Negamax,[6 8],0.2591953999999532,16,1,1
230,Nimby,Negamax,[6 8],0.2861486000001605,17,2,1
231,Nimby,Negamax,[6 8],0.37395200000173645,20,1,1
232,Nimby,Negamax,[6 8],0.28549749999911,18,2,2
233,Nimby,Negamax,[6 8],0.4231263999990915,19,1,2
234,Nimby,Negamax,[6 8],0.2903905000002851,16,2,2
235,Nimby,Negamax,[6 8],0.2634323000002041,17,1,2
236,Nimby,Negamax,[6 8],0.28557379999983823,17,2,1
237,Nimby,Negamax,[6 8],0.2582076999988203,15,1,2
238,Nimby,Negamax,[6 8],0.2806514000003517,17,2,1
239,Nimby,Negamax,[6 8],0.24169459999939136,15,1,2
