,game_variant,algorithm,depths,rounds,time,starting_player,winner
0,Nim,NoPruningNegamax,[11  9],0.5082010999994964,15,2,1
1,Nim,NoPruningNegamax,[11  9],0.5214068999994197,16,1,1
2,Nim,NoPruningNegamax,[11  9],0.5030449999994744,15,2,1
3,Nim,NoPruningNegamax,[11  9],0.5168044000001828,16,1,1
4,Nim,NoPruningNegamax,[11  9],0.5026084999990417,15,2,1
5,Nim,NoPruningNegamax,[11  9],0.5373856000005617,16,1,1
6,Nim,NoPruningNegamax,[11  9],0.5065033999999287,15,2,1
7,Nim,NoPruningNegamax,[11  9],0.5292171999990387,16,1,1
8,Nim,NoPruningNegamax,[11  9],0.505028499999753,15,2,1
9,Nim,NoPruningNegamax,[11  9],0.6067482999987988,16,1,1
10,Nim,NoPruningNegamax,[11  9],0.5058662000010372,15,2,1
11,Nim,NoPruningNegamax,[11  9],0.5337535999988177,16,1,1
12,Nim,NoPruningNegamax,[11  9],0.516838600000483,15,2,1
13,Nim,NoPruningNegamax,[11  9],0.5435045000012906,16,1,1
14,Nim,NoPruningNegamax,[11  9],0.5061718000015389,15,2,1
15,Nim,NoPruningNegamax,[11  9],0.531538900000669,16,1,1
16,Nim,NoPruningNegamax,[11  9],0.4994712999996409,15,2,1
17,Nim,NoPruningNegamax,[11  9],0.5200237999997626,16,1,1
18,Nim,NoPruningNegamax,[11  9],0.49605780000092636,15,2,1
19,Nim,NoPruningNegamax,[11  9],0.5909229999997478,16,1,1
20,Nim,NoPruningNegamax,[6 8],0.44327899999916553,18,2,2
21,Nim,NoPruningNegamax,[6 8],0.4441322000002401,19,1,2
22,Nim,NoPruningNegamax,[6 8],0.4270018999995955,18,2,2
23,Nim,NoPruningNegamax,[6 8],0.43812679999973625,19,1,2
24,Nim,NoPruningNegamax,[6 8],0.4308487000016612,18,2,2
25,Nim,NoPruningNegamax,[6 8],0.4472611999990477,19,1,2
26,Nim,NoPruningNegamax,[6 8],0.4400943999989977,18,2,2
27,Nim,NoPruningNegamax,[6 8],0.4488074000000779,19,1,2
28,Nim,NoPruningNegamax,[6 8],0.4364430999994511,18,2,2
29,Nim,NoPruningNegamax,[6 8],0.5225922999998147,19,1,2
30,Nim,NoPruningNegamax,[6 8],0.43459360000088054,18,2,2
31,Nim,NoPruningNegamax,[6 8],0.4407127999984368,19,1,2
32,Nim,NoPruningNegamax,[6 8],0.4585406000005605,18,2,2
33,Nim,NoPruningNegamax,[6 8],0.4517028999998729,19,1,2
34,Nim,NoPruningNegamax,[6 8],0.43553609999980836,18,2,2
35,Nim,NoPruningNegamax,[6 8],0.44400300000052084,19,1,2
36,Nim,NoPruningNegamax,[6 8],0.4281035999993037,18,2,2
37,Nim,NoPruningNegamax,[6 8],0.46987520000038785,19,1,2
38,Nim,NoPruningNegamax,[6 8],0.4334144999993441,18,2,2
39,Nim,NoPruningNegamax,[6 8],0.5355908999990788,19,1,2
40,Nimby,NoPruningNegamax,[11  9],0.5417726000014227,17,2,1
41,Nimby,NoPruningNegamax,[11  9],0.5517740999985108,17,1,2
42,Nimby,NoPruningNegamax,[11  9],0.5098902999998245,16,2,2
43,Nimby,NoPruningNegamax,[11  9],0.595205800000258,18,1,1
44,Nimby,NoPruningNegamax,[11  9],0.5505045000008977,19,2,1
45,Nimby,NoPruningNegamax,[11  9],0.5229923000006238,16,1,1
46,Nimby,NoPruningNegamax,[11  9],0.529774799999359,17,2,1
47,Nimby,NoPruningNegamax,[11  9],0.5798070000000735,16,1,1
48,Nimby,NoPruningNegamax,[11  9],0.5711071000005177,20,2,2
49,Nimby,NoPruningNegamax,[11  9],0.6441039999990608,19,1,2
50,Nimby,NoPruningNegamax,[11  9],0.5268280000000232,17,2,1
51,Nimby,NoPruningNegamax,[11  9],0.5349033000002237,17,1,2
52,Nimby,NoPruningNegamax,[11  9],0.5882314999998925,18,2,2
53,Nimby,NoPruningNegamax,[11  9],0.5760434000003443,19,1,2
