,game_variant,algorithm,depths,rounds,time,starting_player,winner
0,Nim,Negamax,[11  9],0.3619300000009389,15,2,1
1,Nim,Negamax,[11  9],0.3972871000005398,18,1,1
2,Nim,Negamax,[11  9],0.3662650999995094,15,2,1
3,Nim,Negamax,[11  9],0.4144332999985636,18,1,1
4,Nim,Negamax,[11  9],0.3689926999995805,15,2,1
5,Nim,Negamax,[11  9],0.4021511000009923,18,1,1
6,Nim,Negamax,[11  9],0.3713497999997344,15,2,1
7,Nim,Negamax,[11  9],0.4871104000012565,18,1,1
8,Nim,Negamax,[11  9],0.36846460000015213,15,2,1
9,Nim,Negamax,[11  9],0.4049721999999747,18,1,1
10,Nim,Negamax,[11  9],0.37075240000012855,15,2,1
11,Nim,Negamax,[11  9],0.40156000000024505,18,1,1
12,Nim,Negamax,[11  9],0.36602339999990363,15,2,1
13,Nim,Negamax,[11  9],0.3939570000002277,18,1,1
14,Nim,Negamax,[11  9],0.3568457999990642,15,2,1
15,Nim,Negamax,[11  9],0.39126819999910367,18,1,1
16,Nim,Negamax,[11  9],0.36017680000077235,15,2,1
17,Nim,Negamax,[11  9],0.39054440000109025,18,1,1
18,Nim,Negamax,[11  9],0.43625559999964025,15,2,1
19,Nim,Negamax,[11  9],0.3931998999996722,18,1,1
20,Nim,Negamax,[6 8],0.2636445999996795,16,2,2
21,Nim,Negamax,[6 8],0.23783980000007432,15,1,2
22,Nim,Negamax,[6 8],0.26451059999999416,16,2,2
23,Nim,Negamax,[6 8],0.23908230000051844,15,1,2
24,Nim,Negamax,[6 8],0.2627058999987639,16,2,2
25,Nim,Negamax,[6 8],0.24023420000048645,15,1,2
26,Nim,Negamax,[6 8],0.26671970000097645,16,2,2
27,Nim,Negamax,[6 8],0.2379199000006338,15,1,2
28,Nim,Negamax,[6 8],0.2684379000002082,16,2,2
29,Nim,Negamax,[6 8],0.23853330000019923,15,1,2
30,Nim,Negamax,[6 8],0.26581240000086837,16,2,2
31,Nim,Negamax,[6 8],0.2427425999994739,15,1,2
32,Nim,Negamax,[6 8],0.3472249999995256,16,2,2
33,Nim,Negamax,[6 8],0.24045720000140136,15,1,2
34,Nim,Negamax,[6 8],0.2653890000001411,16,2,2
35,Nim,Negamax,[6 8],0.23909610000009707,15,1,2
36,Nim,Negamax,[6 8],0.26290069999959087,16,2,2
37,Nim,Negamax,[6 8],0.23694609999984095,15,1,2
38,Nim,Negamax,[6 8],0.2620490000008431,16,2,2
39,Nim,Negamax,[6 8],0.24139759999889066,15,1,2
40,Nimby,Negamax,[11  9],0.4509641000004194,19,2,1
41,Nimby,Negamax,[11  9],0.39461510000001,18,1,1
42,Nimby,Negamax,[11  9],0.35233660000085365,15,2,1
43,Nimby,Negamax,[11  9],0.3747223999998823,16,1,1
44,Nimby,Negamax,[11  9],0.44097770000007586,18,2,2
45,Nimby,Negamax,[11  9],0.5196715000001859,19,1,2
46,Nimby,Negamax,[11  9],0.3486797999994451,15,2,1
47,Nimby,Negamax,[11  9],0.36837000000014086,17,1,2
48,Nimby,Negamax,[11  9],0.36284150000028603,16,2,2
49,Nimby,Negamax,[11  9],0.3787979999997333,18,1,1
50,Nimby,Negamax,[11  9],0.40533660000073723,20,2,2
51,Nimby,Negamax,[11  9],0.37793260000034934,18,1,1
52,Nimby,Negamax,[11  9],0.3759113000014622,17,2,1
53,Nimby,Negamax,[11  9],0.4027334999991581,20,1,1
54,Nimby,Negamax,[11  9],0.3512360999993689,15,2,1
55,Nimby,Negamax,[11  9],0.4287261999998009,22,1,1
56,Nimby,Negamax,[11  9],0.4786869999988994,19,2,1
57,Nimby,Negamax,[11  9],0.4174626999993052,21,1,2
58,Nimby,Negamax,[11  9],0.395129900000029,18,2,2
59,Nimby,Negamax,[11  9],0.46647010000015143,20,1,1
60,Nimby,Negamax,[6 8],0.2929411999994045,19,2,1
61,Nimby,Negamax,[6 8],0.2505122000002302,15,1,2
62,Nimby,Negamax,[6 8],0.3110202999996545,19,2,1
63,Nimby,Negamax,[6 8],0.2558540999998513,17,1,2
64,Nimby,Negamax,[6 8],0.27570790000027046,17,2,1
65,Nimby,Negamax,[6 8],0.23750870000003488,15,1,2
66,Nimby,Negamax,[6 8],0.2839289000003191,18,2,2
67,Nimby,Negamax,[6 8],0.23733770000035292,15,1,2
68,Nimby,Negamax,[6 8],0.35979000000043015,18,2,2
69,Nimby,Negamax,[6 8],0.24780949999876611,15,1,2
70,Nimby,Negamax,[6 8],0.27500059999874793,16,2,2
71,Nimby,Negamax,[6 8],0.24567999999999302,16,1,1
72,Nimby,Negamax,[6 8],0.2988435999996,19,2,1
73,Nimby,Negamax,[6 8],0.2368376000013086,15,1,2
74,Nimby,Negamax,[6 8],0.2840723999997863,16,2,2
75,Nimby,Negamax,[6 8],0.23987829999896348,16,1,1
76,Nimby,Negamax,[6 8],0.2567438000005495,16,2,2
77,Nimby,Negamax,[6 8],0.25492490000033285,17,1,2
78,Nimby,Negamax,[6 8],0.266919700001381,17,2,1
79,Nimby,Negamax,[6 8],0.2560470999997051,17,1,2
